from,to,score,reason
EXPECT-L0-1,ASSERT-L0-1,100,expect->assert (id core match)
EVID-L0-1,ASSERT-L0-1,90,evid->assert (id core match)
EXPECT-L0-1,ASSUMP-L0-1,60,expect->assump (id core match)
EXPECT-L0-10,ASSERT-L0-10,100,expect->assert (id core match)
EVID-L0-10,ASSERT-L0-10,90,evid->assert (id core match)
EXPECT-L0-10,ASSUMP-L0-10,60,expect->assump (id core match)
EXPECT-L0-11,ASSERT-L0-11,100,expect->assert (id core match)
EVID-L0-11,ASSERT-L0-11,90,evid->assert (id core match)
EXPECT-L0-11,ASSUMP-L0-11,60,expect->assump (id core match)
EXPECT-L0-12,ASSERT-L0-12,100,expect->assert (id core match)
EVID-L0-12,ASSERT-L0-12,90,evid->assert (id core match)
EXPECT-L0-12,ASSUMP-L0-12,60,expect->assump (id core match)
EXPECT-L0-13,ASSERT-L0-13,100,expect->assert (id core match)
EVID-L0-13,ASSERT-L0-13,90,evid->assert (id core match)
EXPECT-L0-13,ASSUMP-L0-13,60,expect->assump (id core match)
EXPECT-L0-14,ASSERT-L0-14,100,expect->assert (id core match)
EVID-L0-14,ASSERT-L0-14,90,evid->assert (id core match)
EXPECT-L0-14,ASSUMP-L0-14,60,expect->assump (id core match)
EXPECT-L0-15,ASSERT-L0-15,100,expect->assert (id core match)
EVID-L0-15,ASSERT-L0-15,90,evid->assert (id core match)
EXPECT-L0-15,ASSUMP-L0-15,60,expect->assump (id core match)
EXPECT-L0-16,ASSERT-L0-16,100,expect->assert (id core match)
EVID-L0-16,ASSERT-L0-16,90,evid->assert (id core match)
EXPECT-L0-16,ASSUMP-L0-16,60,expect->assump (id core match)
EXPECT-L0-17,ASSERT-L0-17,100,expect->assert (id core match)
EVID-L0-17,ASSERT-L0-17,90,evid->assert (id core match)
EXPECT-L0-17,ASSUMP-L0-17,60,expect->assump (id core match)
EXPECT-L0-2,ASSERT-L0-2,100,expect->assert (id core match)
EVID-L0-2,ASSERT-L0-2,90,evid->assert (id core match)
EXPECT-L0-2,ASSUMP-L0-2,60,expect->assump (id core match)
EXPECT-L0-3,ASSERT-L0-3,100,expect->assert (id core match)
EVID-L0-3,ASSERT-L0-3,90,evid->assert (id core match)
EXPECT-L0-3,ASSUMP-L0-3,60,expect->assump (id core match)
EXPECT-L0-4,ASSERT-L0-4,100,expect->assert (id core match)
EVID-L0-4,ASSERT-L0-4,90,evid->assert (id core match)
EXPECT-L0-4,ASSUMP-L0-4,60,expect->assump (id core match)
EXPECT-L0-5,ASSERT-L0-5,100,expect->assert (id core match)
EVID-L0-5,ASSERT-L0-5,90,evid->assert (id core match)
EXPECT-L0-5,ASSUMP-L0-5,60,expect->assump (id core match)
EXPECT-L0-6,ASSERT-L0-6,100,expect->assert (id core match)
EVID-L0-6,ASSERT-L0-6,90,evid->assert (id core match)
EXPECT-L0-6,ASSUMP-L0-6,60,expect->assump (id core match)
EXPECT-L0-7,ASSERT-L0-7,100,expect->assert (id core match)
EVID-L0-7,ASSERT-L0-7,90,evid->assert (id core match)
EXPECT-L0-7,ASSUMP-L0-7,60,expect->assump (id core match)
EXPECT-L0-8,ASSERT-L0-8,100,expect->assert (id core match)
EVID-L0-8,ASSERT-L0-8,90,evid->assert (id core match)
EXPECT-L0-8,ASSUMP-L0-8,60,expect->assump (id core match)
EXPECT-L0-9,ASSERT-L0-9,100,expect->assert (id core match)
EVID-L0-9,ASSERT-L0-9,90,evid->assert (id core match)
EXPECT-L0-9,ASSUMP-L0-9,60,expect->assump (id core match)
